Rank,Country name,Happiness score,upperwhisker,lowerwhisker,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Dystopia
107,Venezuela,4.892,5.017,4.767,9.073,0.861,66.7,0.615,-0.169,2.135
108,Georgia,4.891,4.998,4.785,9.585,0.671,64.3,0.783,-0.238,2.191
109,Algeria,4.887,4.991,4.783,9.342,0.802,66.005,0.48,-0.067,2.242
110,Ukraine,4.875,4.977,4.773,9.436,0.888,64.902,0.724,-0.011,1.813
111,Iraq,4.854,4.97,4.738,9.24,0.746,60.583,0.63,-0.053,2.429
112,Gabon,4.852,4.998,4.706,9.603,0.776,59.962,0.731,-0.2,2.201
113,Burkina Faso,4.834,4.993,4.675,7.678,0.672,54.151,0.695,-0.009,3.133
114,Cambodia,4.83,4.963,4.698,8.36,0.765,62,0.959,0.034,2.148
115,Mozambique,4.794,4.997,4.592,7.158,0.744,54.706,0.882,0.061,2.783
116,Nigeria,4.759,4.861,4.658,8.533,0.74,50.102,0.737,0.037,2.736
117,Mali,4.723,4.884,4.563,7.744,0.724,51.969,0.697,-0.036,3.016
118,Iran,4.721,4.828,4.614,9.584,0.71,66.3,0.608,0.218,1.823
119,Uganda,4.636,4.78,4.493,7.677,0.781,56.101,0.709,0.122,2.596
120,Liberia,4.625,4.833,4.417,7.288,0.72,56.498,0.735,0.05,2.857
121,Kenya,4.607,4.747,4.466,8.361,0.688,60.704,0.779,0.287,2.18
122,Tunisia,4.596,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,2.138
123,Lebanon,4.584,4.691,4.477,9.626,0.848,67.355,0.525,-0.073,1.736
124,Namibia,4.574,4.7,4.448,9.161,0.818,56.799,0.719,-0.149,2.068
125,Palestinian Territories,4.517,4.649,4.384,8.485,0.826,62.25,0.653,-0.163,2.131
126,Myanmar,4.426,4.527,4.324,8.541,0.779,59.302,0.876,0.509,1.407
127,Jordan,4.395,4.516,4.273,9.182,0.767,67,0.755,-0.167,1.553
128,Chad,4.355,4.54,4.171,7.364,0.619,48.478,0.579,0.041,3.209
129,Sri Lanka,4.325,4.454,4.196,9.47,0.827,67.299,0.841,0.079,1.075
130,Swaziland,4.308,4.448,4.168,9.065,0.77,50.833,0.647,-0.185,2.155
131,Comoros,4.289,4.454,4.123,8.031,0.626,57.349,0.548,0.082,2.61
132,Egypt,4.283,4.371,4.195,9.367,0.75,61.998,0.749,-0.182,1.648
133,Ethiopia,4.275,4.374,4.175,7.694,0.764,59,0.752,0.082,2.089
134,Mauritania,4.227,4.365,4.09,8.542,0.795,57.161,0.561,-0.106,2.069
135,Madagascar,4.208,4.349,4.068,7.396,0.686,59.305,0.552,-0.005,2.62
136,Togo,4.107,4.258,3.956,7.362,0.569,54.914,0.619,0.032,2.806
137,Zambia,4.073,4.209,3.938,8.145,0.708,55.809,0.782,0.061,1.975
138,Sierra Leone,3.849,4.001,3.698,7.434,0.63,51.651,0.717,0.084,2.396
139,India,3.819,3.869,3.769,8.755,0.603,60.633,0.893,0.089,1.405
